userId,model,k,precision,recall,hit_rate,f1,train_ratings,test_relevant_movies,recommendation_count
147171,Content-Based,5,0.0,0.0,0.0,0.0,30,3,20
147171,Content-Based,10,0.0,0.0,0.0,0.0,30,3,20
147171,Content-Based,20,0.0,0.0,0.0,0.0,30,3,20
102929,Content-Based,5,0.0,0.0,0.0,0.0,32,5,20
102929,Content-Based,10,0.0,0.0,0.0,0.0,32,5,20
102929,Content-Based,20,0.0,0.0,0.0,0.0,32,5,20
157791,Content-Based,5,0.0,0.0,0.0,0.0,396,37,20
157791,Content-Based,10,0.0,0.0,0.0,0.0,396,37,20
157791,Content-Based,20,0.0,0.0,0.0,0.0,396,37,20
76756,Content-Based,5,0.4,0.25,1.0,0.3076923076923077,40,8,20
76756,Content-Based,10,0.2,0.25,1.0,0.22222222222222224,40,8,20
76756,Content-Based,20,0.1,0.25,1.0,0.14285714285714288,40,8,20
142655,Content-Based,5,0.0,0.0,0.0,0.0,41,3,20
142655,Content-Based,10,0.0,0.0,0.0,0.0,41,3,20
142655,Content-Based,20,0.0,0.0,0.0,0.0,41,3,20
140393,Content-Based,5,0.0,0.0,0.0,0.0,58,10,20
140393,Content-Based,10,0.0,0.0,0.0,0.0,58,10,20
140393,Content-Based,20,0.0,0.0,0.0,0.0,58,10,20
192878,Content-Based,5,0.0,0.0,0.0,0.0,23,2,20
192878,Content-Based,10,0.0,0.0,0.0,0.0,23,2,20
192878,Content-Based,20,0.0,0.0,0.0,0.0,23,2,20
15308,Content-Based,5,0.0,0.0,0.0,0.0,43,3,20
15308,Content-Based,10,0.0,0.0,0.0,0.0,43,3,20
15308,Content-Based,20,0.0,0.0,0.0,0.0,43,3,20
187569,Hybrid,5,0.0,0.0,0.0,0.0,19,3,0
187569,Hybrid,10,0.0,0.0,0.0,0.0,19,3,0
187569,Hybrid,20,0.0,0.0,0.0,0.0,19,3,0
32770,Hybrid,5,0.0,0.0,0.0,0.0,41,5,0
32770,Hybrid,10,0.0,0.0,0.0,0.0,41,5,0
32770,Hybrid,20,0.0,0.0,0.0,0.0,41,5,0
29063,Hybrid,5,0.0,0.0,0.0,0.0,882,48,0
29063,Hybrid,10,0.0,0.0,0.0,0.0,882,48,0
29063,Hybrid,20,0.0,0.0,0.0,0.0,882,48,0
